gene,group
CXCL10,Chemokines
CCL11,Chemokines
CXCL13,Chemokines
CXCL9,Chemokines
CXCL11,Chemokines
CCL17,Chemokines
CCL7,Chemokines
CCL20,Chemokines
CCR4,Chemokines
CCL18,Chemokines
CCL25,Chemokines
CXCR4,Chemokines
CXCR3,Chemokines
CCR2,Chemokines
CCR3,Chemokines
CCR5,Chemokines
CCR7,Chemokines
CCL3,Chemokines
CCL22,Chemokines
CCL8,Chemokines
XCL1,Chemokines
CXCR6,Chemokines
CXCL16,Chemokines
CCR9,Chemokines
PF4,Chemokines
CXCL6,Chemokines
CX3CL1,Chemokines
CCR10,Chemokines
CX3CR1,Chemokines
CCL16,Chemokines
CXCL14,Chemokines
CCL21,Chemokines
PPBP,Chemokines
CCL28,Chemokines
IL21R,Interleukins
IL21B,Interleukins
IL9R,Interleukins
IL26,Interleukins
IL27,Interleukins
IL2RB,Interleukins
IL10,Interleukins
IL24,Interleukins
IL7R,Interleukins
IL18,Interleukins
IL32,Interleukins
IL2RG,Interleukins
IL2RA,Interleukins
IL12RB2,Interleukins
IL1A,Interleukins
IL22,Interleukins
IL10RA,Interleukins
IL23A,Interleukins
IL31RA,Interleukins
IL1R2,Interleukins
IL1B,Interleukins
IL27RA,Interleukins
IL11,Interleukins
IL12A,Interleukins
IL18.1,Interleukins
IL10RB,Interleukins
IL4R,Interleukins
IL1R1,Interleukins
IL34,Interleukins
IL17D,Interleukins
IL6,Interleukins
IL5,Interleukins
IL17RD,Interleukins
IL33,Interleukins
IL17B,Interleukins
IFNG,Interferon
IFNB1,Interferon
IFNAR2,Interferon
IFNGR2,Interferon
IFNA8,Interferon
IFNA1,Interferon
IFNE,Interferon
IFNA5,Interferon
IDO1,Others
LTA,Others
FASLG,Others
TNF,Others
CSF2,Others
CSF2RB,Others
VEGFA,Others
TGFBR1,Others
FAS,Others
TGFB3,Others
CSF1,Others
PDGFC,Others
ARG1,Others
VEGFC,Others
VEGFB,Others
PDGFRB,Others
TGFBR2,Others
PDGFRA,Others
EPOR,Others
EGFR,Others
PDGFD,Others
EGF,Others
TPO,Others
TGFBR3,Others
